COMPANY_ID,COMPANY_NAME,COMPANY_MANAGER,COMPANY_EMAIL,COMPANY_PHONE,COMPANY_ADDRESS,COMPANY_POSTCODE,COPMANY_COUNTRY,COMPANY_CITY,COMPANY_TIN,COMPANY_IBAN
1,TechSolutions,3,contact@techsolutions.com,+359 88 1234567,бул. Витоша 123,1000,34,1,BG1234567890,BG12RZBB91550123456789
2,GreenEnergy,7,info@greenenergy.bg,+359 88 2345678,ул. Соларен Парк 45,1202,34,5,BG9876543210,BG34UNCR70001564567890
3,BlueOcean,12,support@blueocean.bg,+359 88 3456789,ул. Морска 78,1303,34,10,BG4567891234,BG87STSA93001587654321
4,NextGenTech,18,hello@nextgentech.bg,+359 88 4567890,бул. Бъдеще 156,1404,34,3,BG7891234567,BG99FINV90001326547890
5,AgroWorld,5,contact@agroworld.bg,+359 88 5678901,ул. Зелено Поле 321,1505,34,7,BG3216549870,BG43CECB40001567891234
6,SmartHomes,9,info@smarthomes.bg,+359 88 6789012,ул. Умна Къща 98,1606,34,8,BG6549873210,BG53PRCB54001578901234
7,CloudSys,11,contact@cloudsys.bg,+359 88 7890123,бул. Облак 200,1707,34,9,BG9873216543,BG65EVRO12001598012345
8,EduTech,15,support@edutech.bg,+359 88 8901234,ул. Образование 32,1808,34,4,BG3217896540,BG76ASTS54001567890234
9,MedLife,20,hello@medlife.bg,+359 88 9012345,ул. Здраве 45,1909,34,6,BG6543219870,BG34UNIB70001589012345
10,AutoMotive,13,info@automotive.bg,+359 88 0123456,бул. Автомобили 77,2001,34,2,BG1230984567,BG87PIRB45001576890234
11,BuildCorp,10,contact@buildcorp.bg,+359 88 3456701,ул. Строителство 111,2102,34,11,BG3456712098,BG12RAIF20001567890123
12,EcoFuture,8,support@ecofuture.bg,+359 88 5678012,ул. Еко 54,2203,34,13,BG5678123904,BG87FIBR93001567890432
13,TravelPlus,6,hello@travelplus.bg,+359 88 6789023,бул. Пътешествие 89,2304,34,12,BG6789230145,BG99POST94001578902134
14,FarmFresh,4,info@farmfresh.bg,+359 88 7890134,ул. Прясно Поле 34,2405,34,14,BG7890342156,BG53CTBA90001567892134
15,DigitalWave,17,contact@digitalwave.bg,+359 88 8901245,ул. Вълна 67,2506,34,15,BG8901453267,BG65SDBG23001589012456
16,TechWorld,19,support@techworld.bg,+359 88 9012356,бул. Свят 92,2607,34,16,BG9012564378,BG76BGUB15001567890345
17,RenewPower,14,hello@renewpower.bg,+359 88 0123467,ул. Възобновяема 123,2708,34,17,BG0123675489,BG34CIBG45001578902345
18,HealthFirst,16,info@healthfirst.bg,+359 88 3456781,ул. Здраве Първо 21,2809,34,18,BG3456789012,BG87SOGE94001589023456
19,UrbanLife,22,contact@urbanlife.bg,+359 88 5678902,бул. Градски 34,2901,34,19,BG5678901234,BG99BNPA23001567890543
20,SmartFinance,21,support@smartfinance.bg,+359 88 7890123,ул. Финанси 56,3002,34,20,BG7890123456,BG53OBBG45001578903456
